QueryText,KccAns
BLACK GRAM SUCKING PEST MANAGEMENT,BLACK GRAM SUCKING PEST MANAGEMENT : RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
BROWN PLANT HOPPER IN PADDY,"RECOMMENDED TO SPRAY SPIROMESIFEN  200ML /200 LITERS OF WATER /ACRE    
RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITERS OF WATER /ACRE"
PAPAYA FLOWER DROP MANAGEMENT,PAPAYA FLOWER DROP MANAGEMENT : RECOMMENDED FOR SPRAY NAPTHALIC ACETIC ACID (NAA) 2.5 ML/10 LITERS OF WATER
leaf folder in paddy,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
CHILLI MIDGE FLY,CHILLI MIDGE FLY : RECOMMENDED TO SPRAY TRIAZOPHOS  300 ML PER ACRE
MAIZE STEM BORER MANAGEMENT,RECOMMENDED TO SPRAY MONOCROTOPHOS  320 ML /200 LITRES OF WATER /ACRE
weather report,no rain partly sunshine
bph management in paddy,bph management in paddy :RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITERS OF WATER / ACRE
LEAF EATING CATERPILLERS IN WATERMELON,RECOMMENDED TO SPRAY MALATHION   400 ML /200 LITRES OF WATER / ACRE
WEATHER REPORT,The rain is not likely to take place in your area
RIDGE GOURD LEAF SPOT,RECOMMENDED TO SPRAY mancozeb + carbendazim  2GR /LT WATER
CITRUS ROOT GRUB  CONTROL,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
weather report,Sunny to partly cloudy and nice
Midge flies IN CHILLI,Advised to spray triozophos 400 ml or marshal 400 ml per acre. Also Suggested to spray chloropyrephos 500 ml/acre 7 days after first spray if necessary
rice blast,RECOMMENDED TO SPRAY Zineb 68% + Hexaconazol 4% WP 400-500 GRAMS/ACRE IN 200 LITER WATER ??????  400-500 ???????? ?? ???? ?? 200 ?????? ??????
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,no rain your area cloudy weather occur
CHILLI   GROWTH MANAGEMENT,RECOMMENDED TO SPRAY  MULTI-K 5 GRAM / LITER WATER
WEATHER INFORMATION :,"WEATHER INFORMATION : DRY WEATHER ,CHANCE OF SHOWERS IN YOUR AREA"
CHILLI VIRUS CONTROL,RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /200 LITRES OF WATER / ACRE
black gram powdery mildew:,black gram powdery mildew:recommended myclobutanil 0.5grm/liter water
GROUNDNUT STEM ROT CONTROL,RECOMMENDED TO SPRAY  HEXACONAZOLE  400 ML /200 LITRES OF WATER / ACRE
BLACKGRAM POWDERY MILDEW,BLACKGRAM POWDERY MILDEW : RECOMMENDED TO SPRAY DINOCAP 200 ML PER ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
chilly powdery mildew management,RECOMMENDED TO SPRAY WETTABLE SULPHUR  600 GRAMS/200 LITRES OF WATER / ACRE
sorghum time of sowing,sorghum time of sowing : january
WEATHER REPORT,WEATHER REPORT: Today there is no chance of rainfall in your area
RICE BLAST MANAGEMENT,RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITERS OF WATER /ACRE
mustard sowing time,recommended sowing time ;October
bengal gram market information,"bengal gram market information 
minimum price 6900/quintal;
maximum price 7000/quintal"
maize nutrient management,recommended to spray 19-19-19 one kg per acre
weather report:,weather report: no rain your area cloudy weather occur
BLACKGRAM WEED MANAGEMENT,RECOMMENDED TO SPRAY QUIZALOPOP ETHYL(TARGA SUPER) 400 ML PER ACRE
WEATHER REPORT,Plenty of sun
nutrient management in blackgram,recommended to spray 13;0;45multi K 5gr/lit of water
BLACKGRAM LEAF SPOT CONTROL,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
weather report,no rain your area cloudy weather occur
WEATHER REPORT,The rain is not likely to take place in your area
water melon sucking pest,recommended to spray fipronil 400 ml/acre
WEATHER REPORT,"FOR CYCLONE INFORMATION  CONTACT 08912543031,"
INSURANCE SCHEME,INSURANCE SCHEME : RECOMMENDED TO CONTACT BANK OFFICER /AGRICULTURE OFFICER
weather report,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
management of chilli bacterial leaf spot,recommended to spray copper oxy chloride 30gr+streptocycln 1gr 10 liter water
cultivation of black gram intercultivate with maize,suggested to grow inter crop  with maize in green gram gap filing
PADDY SHEATH BLIGHT,RECOMMENDED TO SPRAY  HEXACONAZOLE  400 ML /200 LITRES OF WATER / ACRE
nutrient management in bitter gourd,recommended to spray 13;0;45 multi K 5gr/lit of water
WEATHER REPORT  IN RAPUR,WEATHER REPORT IN RAPUR:Partly sunny and pleasant
SUIATABLE CROP AT THIS SEASON,"RECOMMENDED TO SOW  RIDGE GUARD , BOTTLE GUARD , TOMATO, BRINJAL , BHENDI"
MAIZE WEED MANAGEMENT,RECOMMENDED TO SPRAY  ATRAZINE 1 KG/ACRE
LEAF FOLDER DAMAGE IN PADDY,RECOMMENDED TO SPRAY  CHLORPYRIFOS 500 ML/200 LITERS OF WATER / Acre
POD BORER MANAGEMENT,POD BORER MANAGEMENT : RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML /200 LITRES OF WATER / ACRE
bengal gram cutworm management,bengal gram cutworm management;RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
ALTERNARIA LEAF SPOT MANAGEMENT IN SUNFLOWER,RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITRES OF WATER /ACRE
CHILLI NUTRIENT MANGEMENT,CHILLI NUTRIENT MANGEMENT: RECOMMENDED TO SPRAY ZINCSULPHATE 2 GRAM PER LITRE WATER
",NUTRIENT MANAGEMENT IN .CHILLI",RECOMMENDED TO SPRAY POTASSIUM NITRATE (13-0-45) 1KG/ACRE IN 200 LT WATER
ONION MARKET RATE,ONION MARKET RATE : MINIMUM PRICE 1500 MAXIMUM PRICE 1700
weather report,no rain your area cloudy weather occur
WEATHER REPORT,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
black gram variety,recommended black gram variety ;pu-31;lbg-752
POD BORER MANAGEMENT,RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML /200 LITERS OF WATER / ACRE
WEATHER REPORT,WEATHER REPORT : THERE IS NO RAIN IN YOUR AREA
WEATHER REPORT,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
OIL PALM FERTILIZER MANAGEMENT,"OIL PALM FERTILIZER MANAGEMENT : UREA 2.5KG, SSP 3.750 KG, MOP 2 KG/PLANT/YEAR TWO SPLITS JUNE-JULY AND DECEMBER-JANUARY."
WEATHER REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
ROOT ROT MANAGEMENT IN GROUNDNUT,ROOT ROT MANAGEMENT IN GROUNDNUT :TAKE FYM-90 KG + 10-15 KG NEEM CAKE + 2 KG TRICHODERMA POWDER AND MIX TOGETHER AND WAIT FOR A 10 DAYS AFTER THAT APPLY FOR ACRE
weather report,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
proper growth in black grams,RECOMMENDED TO SPRAY  13-0-45 1 KG/ACRE IN 200 LT WATER
Guava flower drop management,Recommended to spray naphthalene acetic acid  4.5 ml/20 liter
boran dosage,boran dosage ;; 1.5-2 grams /liter
Chilli micro nutrient deficiency management,RECOMMENDED TO SPRAY FORMULA-4 1 KG / ACRE IN 200 LITER WATER
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT,NO RAIN
BLACK GRAM ROOT ROT:,BLACK GRAM ROOT ROT:RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
WILT MANAGEMENT IN TUBEROSE,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE
market information of redgram,market information of redgram : minimum-5450Rs/Quintal maxmimum- 5500Rs/Quintal
fertilizer use in rice,recommended to zinc sulphate 2o kg/ acre
chilli growth fertilizer,RECOMMENDED TO SPRAY  potassium nitrate (13-0-45)  1 KG/ACRE IN 200 LT WATER
DHONE REDGRAM MARKET INFORMATION :,"DHONE REDGRAM MARKET INFORMATION : 
MINIMUM.8000 MAXIMUM.8100 AVERAGE.8050 Rs/Quintal"
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
SUCKING PEST MANAGEMENT,SUCKING PEST MANAGEMENT:RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITERS OF WATER / ACRE
RED GRAM MARKET RATE,"MINIMUM;3400/-,MAXIMUM;4679 /- PER QUINTAL"
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
MAIZE GROW THING MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 1 KG/ACRE
consult veternary doctor,consult veternary doctor
BHENDI SOWING TIME,BHENDI SOWING TIME-JANUARY TO FEBRUARY
sorghum leaf spot,recommended to spray mancozeb  500 gr/acre
cotton maRKET RATE,cotton maRKET RATE ; AVG 5007/QUINTAL
WEATHER REPORT,today there is no chance of rainfall in your area
weather report:,today there is no chance of rainfall in your area
chilli white fly damage,recommended to spray thiomethaxome 50 gram / acre
aphids in sorgham,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
NUTRIENT MANAGEMENT IN CHILLI,NUTRIENT MANAGEMENT IN CHILLI :RECOMMENDED TO APPLY 65 KGS UREA AND MURATE OF POTASH 20 KGS
groundnut thrips control,Monocrotophos 400 ml / acre
WEATHER REPORT,today there is no chance of rainfall in your area
COTTON FLOWER DROP MANAGEMENT,RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
WEATHER REPORT,The rain is not likely to take place in your area
CHILLI MARKET INFORMATION,"Red New	5000	11200 /QUINTAL"
MANGO JASSIDS,MANGO JASSIDS: RECOMMENDED TO SPRAY DIMETHOATE 400 ML PER ACRE
WEATHER REPORT :,no rain your area cloudy weather occur
RED GRAM MARKET INFORMATION,"RED GRAM MARKET INFORMATION : DHONE
MINIMUM PRICE - 8000/- Rs/ QUINTAL  
MAXIMUM PRICE - 8100/- Rs/ QUINTAL"
bengal gram  root rot,recommended to spray copper oxy chloride 30gr+streptocycln 1gr 10 liter water
management of chilli virus,RECOMMENDED TO SPRAY SPIROMESIFEN  200ML /200 LITRES OF WATER /ACRE
poultry research station,poultry research station : 040-24018687
WEED CONTROL IN BLACKGRAM,RECOMMENDED TO SPRAY QUIZALOPOP ETHYL(TARGA SUPER) 400 ML PER ACRE
BRINJAL SHOOT AND FRUIT BORER MANAGEMNET,BRINJAL SHOOT AND FRUIT BORER MANAGEMNET : RECOMMENDED FOR SPRAY CHLORANTHRNAPROLE 60 ML/ ACRE
weather report,weather report :  NO RAIN AND CLOUDY WEATHER
WEATHER REPORT,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
SESAME SOWING TIME,SESAME SOWING TIME;JANUARY TO FEBRUARY
bacterial leaf spot in brinjal,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  30 GRAMS   +   STREPTOCYCLINE   1 GRAM  / 1 0 LITRES OF WATER
GROUND NUT LEAF SPOT MANAGEMENT,GROUND NUT LEAF SPOT MANAGEMENT : RECOMMENDED TO SPRAY SAAF 400 GRAMS PER ACRE
leaf eating caterpillar management in chili,recommended to spray emamectin benzoate 100 grams/acre
CHILLI POWDERY MILDEW,RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE
nutrient management in redgram,nutrient management in redgram : recommended to apply 8 kgs urea /acre
BLACK GRAM EARLY BLIGHT MANAGEMENT,RECOMMENDED FOR 30 gr COPPOR OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER
NUTRIENT MANAGEMENT IN CHILLI,Recommended to spray 13-0-45  1 KG / ACRE IN 200 LT WATER
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
groundnut fertilizer management,groundnut fertilizer management : gypsum 2 quintals/ acre
WEED MANGEMENT IN BLACK GRAM,NOT RECOMMENDED
musk melon varieties,"musk melon varieties : white flesh varieties: arka rajahans, arka jeeth, orange flesh : pusa sharbathi, pusa madhuras, puna sunaheri,  green flesh: hara madhu, durgapura madhu are suitable."
weather report,weather report:  no rain your area cloudy weather occur
management of chilli bacterial leaf spot,recommended to spray copper oxy chloride 30gr+streptocycln 1gr 10 liter water
management of green gram white fly,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
GREEN GRAM VARIETIES,"GREEN GRAM VARIETIES :YELLOW MOSAIC RESISTANCE : LGG-407 ,LGG-460 ,WGG-37 , WGG-42"
BACTERIAL LEAF SPOT IN CHILI,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
SUCKING PEST MANAGEMENT:,SUCKING PEST MANAGEMENT:RECOMMENDED TO SPRAY DIMETHOATE 2 ML + AZADIRHACHTIN 5 ML / 1 LITRE OF WATER
sheath blight management,RECOMMENDED TO SPRAT   HEXACONAZOLE+ZINEB   500  GRAMS / 200 LITRES OF WATER /ACRE
management of paddy leaf folder,RECOMMENDED TO SPRAY CARTAP HYDROCHLORIDE 400 GRAMS/ 200 LITRES OF WATER / ACRE
gram tobacco caterpillar management,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /150 LITRES OF WATER / ACRE
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
RED GRAM MARKET INFORMATION,MINIMUM PRICE 4425/QUINTAL ;MAXIMUM PRICE 4425/QUINTAL
grape downy mildew management,recommended to spray metalaxyl 2 gm   or mancozeb 3 gm / lit
weather report,TODAY THE RAIN IS NOT LIKELY TO TAKEPLACE IN YOUR AREA
WEATHER REPORT,WEATHER REPORT :NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
FLOWER DROP MANAGEMENT,RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITERS OF WATER /ACRE
leaf eating caterpillers in blackgram,RECOMMENDED TO SPRAY   Monocrotophos 400 ml / acre in 200 liter water
WEATHER INFORMATION,"WEATHER INFORMATION : CLOUDY WEATHER INFORMATION , LESS CHANCE OF RAIN YOUR AREA"
CHILLY BACTERIAL LEAF SPOT MANAGEMENT,"CHILLY BACTERIAL LEAF SPOT MANAGEMENT :  
 
RECOMMENDED FOR 30 gr COPPER OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER"
weather report,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
powdery mildew management in chillies,recommended to spray wettable sulphur 600 grams/acre
SUCKING PEST MANAGEMENT,SUCKING PEST MANAGEMENT:RECOMMENDED TO SPRAY DIMETHOATE 2 ML/ 1 LITER OF WATER
weather report,NO RAINS ARE THERE IN YOUR AREA
weather report,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
chilli canophora stem rot management,RECOMMENDED  TO SPRAY COPPOR OXY CHLORIDE  30 GRAMS   +   STREPTOCYCLINE   1 GRAM  / 10 LITERS OF WATER
WEATHER REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
GROUNDNUT GROWTHING AND NUTRIENT DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 1KG/ACRE IN 200 LT WATER
PADDY BPH,PADDY BPH:RECOMMENDED TO SPRAY BUPROFOZIN  300ML PER ACRE
INFORMATION ABOUT GUAVA PLANTING MATERIAL AVAILABILITY,INFORMATION ABOUT GUAVA PLANTING MATERIAL AVAILABILITY  : CONTACT HORTICULTURE OFFICER
WEATHER REPORT,WEATHER REPORT: today there is no chance of rainfall in your area ??
weather report:,today there is no chance of rainfall in your area
leaf spots in black gram,RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITERS OF WATER /ACRE
weather report,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
PADDY BLAST,PADDY BLAST : RECOMMENDED TO SPRAY HEXACONAZLE + ZINEB 400 GRAM PER ACRE
CHILLY MIDGE FLY MANAGEMENT,CHILLY MIDGE FLY MANAGEMENT : RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
RED GRAM MARKET INFORMATION,"RED GRAM MARKET INFORMATION  : DHONE
MINIMUM PRICE - 8000/- Rs/ QUINTAL  
MAXIMUM PRICE - 8100/- Rs/ QUINTAL"
management of chilli downy mildew,RECOMMENDED TO SPRAY  PYRACLOSTROBIN   100 ML/200 LITRES OF WATER /ACRE
COTTON MARKET RATE,"COTTON MARKET RATE MINIMUM 3450	MAXIMUM 5115"
chilli leaf curl management,RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /200 LITERS OF WATER / ACRE
COTTON MARKET RATE,COTTON MARKET RATE MINIMUM 4800 MAXIMUM 5000
mango sucking pest management,RECOMMENDED TO SPRAY MONOCROTOPHOS 400 ML /200 LITERS OF WATER /ACRE
white flies in cotton,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITERS OF WATER / ACRE
LEAF MINER MANAGEMENT:RIDGE GOURD,RECOMMENDED TO SPRAY  OXYDEMETON-METHYL  400 ML/  200 LITRES OF WATER /ACRE
LEAF MINER MANAGEMENT:RIDGE GOURD,RECOMMENDED TO SPRAY  OXYDEMETON-METHYL  400 ML/  200 LITRES OF WATER /ACRE
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
CHILLI GROWTHING MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 1KG/ACRE IN 200 LT WATER
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
PADDY WEED MANAGEMENT,PADDY WEED MANAGEMENT: NO WEEDICIDE IS  USED AT THIS STAGE
WEATHER REPORT,WEATHER REPORT : Mostly cloudy in your area
WEATHER REPORT,WEATHER REPORT:  NO RAIN AND CLOUDY WEATHER
MANGO POWDERYMILDEW,MANGO POWDERYMILDEW: RECOMMENDED TO SPRAY DINOCAP 200 ML PER ACRE
black gram sowing time in summer,black gram sowing time in summer : january - february
BLACKGRAM WEED MANAGEMENT,BLACKGRAM WEED MANAGEMENT  :  RECOMMENDED TO SPRAY QUIZALOFOP-P-ETHYL   400 ML/200 LITRES OF WATER /ACRE
black gram powdery mildew management,black gram powdery mildew management : recommended spray azoxystrobin 200ml/acre in 200 lit of water
muskmelon nutrient management,muskmelon nutrient management: recommended to spray 13-0-45 5 gram per litre water
chilly sucking pest management,chilly sucking pest management : RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
GYPSUM DOSAGES,RECOMMENDED TO APPLY GYPSUM 200 KGS/ACRE
zinc deficency in rice,recommended to zinc sulphate 20kg/lit of water
FLOWER DROP MANAGEEMNT,FLOWER DROP MANAGEEMNT : RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
BENGAL GRAM SEMILOOPERS MANAGEMENT,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
LEAF FOLDER DAMAGE IN PADDY,RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML / 200 LITERS OF WATER / ACRE
WEATHER  REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
TURMRICMARKET INFORMATION,"TURMRICMARKET INFORMATION  : HINDUPUR
MINIMUM PRICE - 2600/- Rs/ QUINTAL  
MAXIMUM PRICE - 3600/- Rs/ QUINTAL"
ground nut thrips,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
Brinjal midge fly management,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML PER ACRE
weather report,no rain your area cloudy weather occur
weather report,today there is no chance of rain fall in your area
weather report,today there is no chance of rain fall in your area
paddy brown plant hopper management,RECOMMENDED TO SPRAY DINOTEFURAN 80 GRAMS/ACRE
CHILLI BACTERIAL LEAF SPOT,recommended to spray copper oxy chloride 30gr+streptocycln 1gr 10 liter water
MAIZE GROWTH,MAIZE GROWTH : RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITER OF WATER
chilli  caterpillar  management,chilli  caterpillar  management recommended fame 20-40ml
Poultry (PDP-HYD) information,"Poultry (PDP-HYD)-GRAMPRIYA, VANARAJA, SRINIDHI- Chicks and EGGS	040- 25505442, 040-24017000/24015651, hatchery-040-24018687"
weather report:,weather report: Today there is no chance of rainfall in your area
chilli growth fertilizer,chilli growth fertilizer : RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 1  KG/ACRE IN 200 LT WATER
maize weed management,maize weed management ;2-4 d sodium salt  500 grams /acre
weather report,weather report : Mostly cloudy in your area
SUCKING PESTS MANAGEMENT IN CHILLI,SUCKING PESTS MANAGEMENT IN CHILLI:RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
weather report,today there is no chance of rain fall in your area
BORON  DEFICIENCY MANAGEMENT IN CITRUS,BORON  DEFICIENCY MANAGEMENT IN CITRUS : RECOMMENDED TO SPRAY OF BORAX 1-1.5 GRAMS PER LITRE
bottle gourd time of sowing,bottle gourd time of sowing : january to february
BLACKGRAM NUTRIENT MANAGEMENT,RECOMMANDED TO SPRAY POTASSIUM NITRATE KG PER ACRE
ZINC DEFICIENCY MANAGEMENT,ZINC DEFICIENCY MANAGEMENT : RECOMMENDED TO SPRAY  ZINC SULFATE  10 GRAMS + UREA 10 GRAMS  / 1 LITER OF WATER
PADDY FERTILIZER MANAGEMENT,RECOMMENDED TO APPLY UREA 35 KG & MOP- 35 KG /ACRE
CHILLI GROWTH MANAGEMENT,Recommended to spray 19-19-19  ( or ) multi-k ( 13-0-45 ) 5gm / lit of water
TOBACCO SUCKING PEST CONTROL,RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /200 LITERS OF WATER / ACRE
CHILLI MICRO NUTRIENT DEFICINCY & LEAF SPOT MANAGEMENT,"RECOMMENDED TO SPARAY MICRO NUTRIENT MIXTURE 5GM / LIT 
RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITERS OF WATER /ACRE"
WEED MANAGEMENT,RECOMMENDED TO SPRAY SEMPRA 36 GR/ACRE
WEATHER REPORT,WEATHER REPORT :Mostly cloudy in your area
BACTERIAL LEAF SPOT IN CHILI,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
WILT IN CHILI,RECOMMENDED TO SPRAY  DIFENOCONAZOLE   100 ML /200 LITRES OF WATER /ACRE
CHILLY DIE BACK MANAGEMENT,CHILLY DIE BACK MANAGEMENT: RECOMMENDED FOR SPRAY PROPICONAZOL 1 ML/ 1 LITER OF WATER
weather report,today there is no chance of rain fall in your area
weather report:,weather report: Today there is no chance of rainfall in your area
COTTON MARKET RATE,COTTON MARKET RATE: MINIMUM PRICE 2400 MAXIMUM PRICE 4200
weed management in black gram:,weed management in black gram:recommended targa super 400ml/acre
MANGO FLOWER DROPING  MANAGEMENT,MANGO FLOWER DROPING  MANAGEMENT ;RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITRES OF WATER /ACRE
WEATHER REPORT,"weather report:
today there is no chance of rainfall in your area"
weather report,no rain your area cloudy weather occur
WEATHER REPORT,Nice with plenty of sunshine
MAIZE TOBACCO CATERPILLAR MANAGEMENT,MAIZE TOBACCO CATERPILLAR MANAGEMENT : RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  100 GRAMS /200 LITRES OF WATER / ACRE
about the animal breeding,"recommended to dial 9848063616,9440477240"
weather report,TODAY THE  MODERATE  THUNDERSTORM IS LIKELY TO TAKE   PLACE IN YOUR
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
management of watermelon leaf spot,recommended to spray copper oxy chloride 30gr+streptocycln 1gr 10 liter water
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,no rain your area cloudy weather occur
weather report,no rain your area cloudy weather occur
weather report,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
cotton market information,cotton market information : minimum 4359 - maximum 5690
WEATHER REPORT,Delightful with sunshine and patchy clouds
POD BORER MANAGEMENT IN TOMATO,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
GREEN GRAM TOBACCO CATERPILLAR MANAGEMENT,GREEN GRAM TOBACCO CATERPILLAR MANAGEMENT : RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  100 GRAMS /200 LITRES OF WATER / ACRE
management of paddy leaf spot,RECOMMENDED TO SPRAY CAPTAN    600 GRAMS/200 LITRES OF WATER / ACRE
